Running,30/06/2021 20:31,FALSE,County Limerick - 10x1min on/off,5.2,376,00:30:02,158,175,3.1,168,185,05:46,04:41,29,31,1.03,0,0,--,--,0,0,0,--,--,--,00:00,26,00:00,No,00:01.6,23,0,00:29:56,00:30:02,2,18
Running,29/06/2021 21:16,FALSE,County Limerick Running,4.01,298,00:25:41,145,158,2.4,164,170,06:24,05:48,19,23,0.95,0,0,--,--,0,0,0,--,--,--,00:00,25,00:00,No,00:03.2,5,0,00:25:39,00:25:41,1,18
Running,28/06/2021 20:34,FALSE,County Limerick Running,6.01,460,00:37:04,153,170,3,166,170,06:10,05:33,41,42,0.98,0,0,--,--,0,0,0,--,--,--,00:00,26,00:00,No,00:02.9,7,0,00:37:02,00:37:04,15,42
Running,27/06/2021 09:17,FALSE,County Kerry Running,18.01,1436,01:49:03,165,178,4,169,177,06:03,05:32,43,39,0.98,0,0,--,--,0,0,0,--,--,--,00:00,21,00:00,No,00:02.9,19,0,01:48:59,01:54:39,6,24
Hiking,26/06/2021 07:53,FALSE,County Kerry Hiking,6.16,855,02:01:44,123,172,2.6,73,169,19:45,05:54,607,630,0.69,0,0,--,--,0,0,0,--,--,--,00:00,17,00:00,No,01:43.8,1,0,01:47:57,02:20:45,211,841
Yoga,24/06/2021 12:42,FALSE,Yoga,0,69,00:22:32,77,176,0.6,--,--,--,--,--,--,0,0,0,--,--,0,0,0,--,--,--,00:00,27,00:00,No,22:31.9,1,0,00:00:00,00:22:32,--,--
Running,23/06/2021 17:01,FALSE,County Limerick Running,5.01,390,00:28:42,163,179,3.3,168,179,05:43,05:05,83,84,1.04,0,0,--,--,0,0,0,--,--,--,00:00,28,00:00,No,00:03.7,6,0,00:28:40,00:31:18,-83,36
Yoga,23/06/2021 13:49,FALSE,Yoga,0,37,00:20:18,69,99,0,--,--,--,--,--,--,0,0,0,--,--,0,0,0,--,--,--,00:00,27,00:00,No,20:17.9,1,0,00:00:00,00:20:18,--,--
Running,22/06/2021 16:46,FALSE,County Limerick Running,5.02,387,00:29:09,161,174,3.3,168,177,05:49,05:04,112,109,1.03,0,0,--,--,0,0,0,--,--,--,00:00,21,00:00,No,00:04.6,6,0,00:29:05,00:29:09,-232,37
Cardio,22/06/2021 12:05,FALSE,Cardio,0,240,00:36:02,117,156,1.2,--,--,--,--,--,--,0,0,0,--,--,0,0,0,--,--,--,00:00,22,00:00,No,36:02.2,1,0,00:00:00,00:36:02,20,20
Cycling,21/06/2021 19:18,FALSE,County Clare Cycling,8.93,144,00:25:29,113,166,1.1,--,--,21,39.3,29,25,0,0,0,63,102,0,0,0,1274,--,--,00:00,16,00:00,No,10:16.4,2,0,00:25:25,00:31:01,-2,13
Cycling,21/06/2021 17:46,FALSE,County Limerick Cycling,18.47,271,01:03:20,107,168,1.6,--,--,17.5,33.5,63,74,0,0,0,59,96,0,0,0,2871,--,--,00:00,16,00:00,No,12:04.4,4,0,01:02:26,01:29:04,5,34
Hiking,19/06/2021 08:31,FALSE,County Tipperary Hiking,9.59,813,02:17:02,108,172,2.3,97,159,14:18,08:23,455,469,0.72,0,0,--,--,0,0,0,--,--,--,00:00,17,00:00,No,17:02.1,1,0,02:13:48,02:45:49,141,609
Running,17/06/2021 20:30,FALSE,County Limerick Running,5.01,385,00:29:28,156,172,3.2,165,173,05:53,04:55,29,34,1.03,0,0,--,--,0,0,0,--,--,--,00:00,23,00:00,No,00:02.5,6,0,00:29:27,00:29:28,-2,23
Running,15/06/2021 19:48,FALSE,County Limerick Running,3.01,223,00:18:20,146,163,2.5,162,168,06:06,04:54,32,19,1.01,0,0,--,--,0,0,0,--,--,--,00:00,25,00:00,No,00:03.0,4,0,00:18:20,00:18:20,10,39
Running,13/06/2021 19:48,FALSE,County Kerry Running,14.01,976,01:25:00,152,167,3,166,173,06:04,05:28,27,32,0.99,0,0,--,--,0,0,0,--,--,--,00:00,24,00:00,No,00:02.6,15,0,01:24:57,01:25:00,10,25
